capability_id,stage_or_goal,owner_module,import_status,capability_class,active
goal06d_calibration_stability,GOAL-06D,ashare_premarket.models.goal06d,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal06d_governance_boundary,GOAL-06D,ashare_premarket.models.goal06d,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal06d1_warning_repair,GOAL-06D.1,ashare_premarket.models.goal06d1,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal06d1_calibration_feature_provider,GOAL-06D.1,ashare_premarket.models.goal06d1,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal06d1_governance_v2_lock,GOAL-06D.1,ashare_premarket.models.goal06d1,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal07a_input_output_contracts,GOAL-07A,ashare_premarket.risk_design.goal07a,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal07a_rules_state_warning_mapping,GOAL-07A,ashare_premarket.risk_design.goal07a,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal07a_governance_boundary_v2_lock,GOAL-07A,ashare_premarket.risk_design.goal07a,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal07a1_design_review_unlock_readiness,GOAL-07A.1,ashare_premarket.risk_design.goal07a1,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal07b0_review_only_unlock_gate,GOAL-07B.0,ashare_premarket.risk_design.goal07b0,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal07b_review_only_risk_overlay,GOAL-07B,ashare_premarket.risk_overlay.goal07b,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal08a_contract_design_gate,GOAL-08A,ashare_premarket.contract_design.goal08a,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal_storage01_local_research_lake_hardening,GOAL-STORAGE-01,ashare_premarket.storage.lake_hardening,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal08b0_review_only_unlock_gate,GOAL-08B.0,ashare_premarket.contract_design.goal08b0,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal08b_review_only_diagnostics,GOAL-08B,ashare_premarket.review_diagnostics.goal08b,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal090_position_band_review_only_unlock,GOAL-09.0,ashare_premarket.contract_design.goal090,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal09_position_band_review_only_diagnostics,GOAL-09,ashare_premarket.review_diagnostics.goal09,PASS,CLASS_A_REQUIRED_ACTIVE,true
goal091_position_band_warning_dashboard_readiness,GOAL-09.1,ashare_premarket.contract_design.goal091,PASS,CLASS_A_REQUIRED_ACTIVE,true
