request_sequence,symbol,market_exchange,akshare_function,endpoint_family,request_parameters,request_start_time,elapsed_seconds,result_classification,http_status,response_byte_length,parsed_row_count,latest_returned_trade_date,exception_type,terminal_exception_message,retry_count,accepted,rejection_reason,start_offset_seconds,capture_quality
11,000651.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000651;beg=20260714;end=20260714",2026-07-15T11:30:08+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,5,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
12,000725.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000725;beg=20260714;end=20260714",2026-07-15T11:30:08+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,5,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
13,000786.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000786;beg=20260714;end=20260714",2026-07-15T11:30:09+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,6,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
14,000895.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000895;beg=20260714;end=20260714",2026-07-15T11:30:09+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,6,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
15,000938.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000938;beg=20260714;end=20260714",2026-07-15T11:30:10+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,7,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
16,000963.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000963;beg=20260714;end=20260714",2026-07-15T11:30:10+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,7,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
17,001979.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.001979;beg=20260714;end=20260714",2026-07-15T11:30:10+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,7,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
18,002236.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002236;beg=20260714;end=20260714",2026-07-15T11:30:11+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,8,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
19,002241.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002241;beg=20260714;end=20260714",2026-07-15T11:30:11+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,8,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
20,002311.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002311;beg=20260714;end=20260714",2026-07-15T11:30:14+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,11,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
21,002352.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002352;beg=20260714;end=20260714",2026-07-15T11:30:15+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,12,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
22,002371.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002371;beg=20260714;end=20260714",2026-07-15T11:30:15+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,12,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
23,002415.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002415;beg=20260714;end=20260714",2026-07-15T11:30:16+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,13,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
24,002460.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002460;beg=20260714;end=20260714",2026-07-15T11:30:16+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,13,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
25,002466.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002466;beg=20260714;end=20260714",2026-07-15T11:30:17+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,14,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
26,002493.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002493;beg=20260714;end=20260714",2026-07-15T11:30:17+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,14,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
27,002594.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002594;beg=20260714;end=20260714",2026-07-15T11:30:18+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,15,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
28,002601.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002601;beg=20260714;end=20260714",2026-07-15T11:30:18+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,15,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
29,002714.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002714;beg=20260714;end=20260714",2026-07-15T11:30:19+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,16,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
30,002736.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002736;beg=20260714;end=20260714",2026-07-15T11:30:19+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,16,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
31,002812.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002812;beg=20260714;end=20260714",2026-07-15T11:30:20+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,17,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
32,002821.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002821;beg=20260714;end=20260714",2026-07-15T11:30:20+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,17,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
33,002841.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002841;beg=20260714;end=20260714",2026-07-15T11:30:21+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,18,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
34,002916.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002916;beg=20260714;end=20260714",2026-07-15T11:30:22+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,19,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
35,002920.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002920;beg=20260714;end=20260714",2026-07-15T11:30:22+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,19,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
36,300015.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300015;beg=20260714;end=20260714",2026-07-15T11:30:24+08:00,,PROVIDER_OK,,,1,2026-07-14,,,0,true,,21,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
37,300033.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300033;beg=20260714;end=20260714",2026-07-15T11:30:24+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,21,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
38,300059.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300059;beg=20260714;end=20260714",2026-07-15T11:30:25+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,22,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
39,300122.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300122;beg=20260714;end=20260714",2026-07-15T11:30:25+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,22,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
40,300502.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300502;beg=20260714;end=20260714",2026-07-15T11:30:26+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,23,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
41,300628.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300628;beg=20260714;end=20260714",2026-07-15T11:30:26+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,23,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
