feature_name,target,fold_name,spearman,observed_direction,expected_direction_if_defined,score_variants_using_feature
market_trend_5d,excess_fwd_3d_return,walk_forward_3,-0.035319,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_5d_return,walk_forward_3,0.006432,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_1d_return,full_review_panel,-0.023665,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_3d_return,full_review_panel,-0.035297,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_5d_return,full_review_panel,-0.05894,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_1d_return,walk_forward_1,-0.030965,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_3d_return,walk_forward_1,-0.178669,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_5d_return,walk_forward_1,-0.22792,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_1d_return,walk_forward_2,-0.091957,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_3d_return,walk_forward_2,-0.060259,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_5d_return,walk_forward_2,-0.106077,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_1d_return,walk_forward_3,-0.021664,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_3d_return,walk_forward_3,0.016836,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_5d,excess_fwd_5d_return,walk_forward_3,0.075178,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_1d_return,full_review_panel,0.002557,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_3d_return,full_review_panel,-0.001252,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_5d_return,full_review_panel,-0.001462,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_1d_return,walk_forward_1,-0.053039,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_3d_return,walk_forward_1,-0.136868,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_5d_return,walk_forward_1,-0.153925,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_1d_return,walk_forward_2,-0.059769,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_3d_return,walk_forward_2,-0.023181,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_5d_return,walk_forward_2,0.023361,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_1d_return,walk_forward_3,-0.029721,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_3d_return,walk_forward_3,0.000571,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_momentum_20d,excess_fwd_5d_return,walk_forward_3,0.026166,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_1d_return,full_review_panel,-0.027334,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_3d_return,full_review_panel,-0.0153,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_5d_return,full_review_panel,-0.035451,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_1d_return,walk_forward_1,0.039621,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_3d_return,walk_forward_1,-0.057399,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_5d_return,walk_forward_1,-0.122492,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_1d_return,walk_forward_2,-0.072953,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_3d_return,walk_forward_2,-0.032667,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_5d_return,walk_forward_2,-0.023482,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_1d_return,walk_forward_3,-0.029357,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_3d_return,walk_forward_3,-0.058564,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_gap_signal,excess_fwd_5d_return,walk_forward_3,-0.015902,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_1d_return,full_review_panel,-0.01739,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_3d_return,full_review_panel,-0.00661,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_5d_return,full_review_panel,0.003206,positive,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_1d_return,walk_forward_1,-0.058126,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_3d_return,walk_forward_1,-0.068244,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_5d_return,walk_forward_1,-0.026716,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_1d_return,walk_forward_2,0.03924,positive,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_3d_return,walk_forward_2,0.10435,positive,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_5d_return,walk_forward_2,0.145351,positive,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_1d_return,walk_forward_3,-0.112851,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_3d_return,walk_forward_3,-0.145285,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
stock_volatility_20d,excess_fwd_5d_return,walk_forward_3,-0.167661,negative,negative,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_1d_return,full_review_panel,-0.000942,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_3d_return,full_review_panel,0.01505,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_5d_return,full_review_panel,0.020007,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_1d_return,walk_forward_1,-0.014928,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_3d_return,walk_forward_1,-0.011729,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_5d_return,walk_forward_1,0.009823,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_1d_return,walk_forward_2,-0.078561,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_3d_return,walk_forward_2,-0.077155,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_5d_return,walk_forward_2,-0.116876,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_1d_return,walk_forward_3,0.012757,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_3d_return,walk_forward_3,0.053412,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
turnover_proxy,excess_fwd_5d_return,walk_forward_3,0.077377,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_1d_return,full_review_panel,-0.018947,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_3d_return,full_review_panel,-0.024577,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_5d_return,full_review_panel,-0.0346,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_1d_return,walk_forward_1,-0.008417,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_3d_return,walk_forward_1,-0.054704,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_5d_return,walk_forward_1,-0.077082,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_1d_return,walk_forward_2,-0.131013,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_3d_return,walk_forward_2,-0.09514,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_5d_return,walk_forward_2,-0.060469,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_1d_return,walk_forward_3,-0.005142,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_3d_return,walk_forward_3,0.013669,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
relative_strength_20d,excess_fwd_5d_return,walk_forward_3,0.028265,positive,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_1d_return,full_review_panel,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_3d_return,full_review_panel,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_5d_return,full_review_panel,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_1d_return,walk_forward_1,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_3d_return,walk_forward_1,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_5d_return,walk_forward_1,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_1d_return,walk_forward_2,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_3d_return,walk_forward_2,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_5d_return,walk_forward_2,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_1d_return,walk_forward_3,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_3d_return,walk_forward_3,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_health_score,excess_fwd_5d_return,walk_forward_3,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_1d_return,full_review_panel,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_3d_return,full_review_panel,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_5d_return,full_review_panel,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_1d_return,walk_forward_1,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_3d_return,walk_forward_1,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_5d_return,walk_forward_1,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_1d_return,walk_forward_2,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_3d_return,walk_forward_2,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_5d_return,walk_forward_2,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_1d_return,walk_forward_3,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_3d_return,walk_forward_3,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
source_count,excess_fwd_5d_return,walk_forward_3,0.0,zero,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
