provider_name,source_field,canonical_field,mapping_required,mapping_status,notes
tushare_pro,trade_date,trade_date,true,not_verified,Review-only schema map; no raw provider payload is committed.
baostock,isST,st_status,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,日期,trade_date,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,股票代码,symbol,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,开盘,open,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,最高,high,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,最低,low,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,收盘,close,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,成交量,volume,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,成交额,amount,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
akshare,换手率,turnover,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,日期,trade_date,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,股票代码,symbol,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,开盘,open,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,最高,high,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,最低,low,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,收盘,close,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,成交量,volume,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,成交额,amount,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
efinance,换手率,turnover,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
qstock,date,trade_date,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,code,symbol,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,open,open,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,high,high,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,low,low,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,close,close,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,volume,volume,true,not_verified,Review-only schema map; no raw provider payload is committed.
qstock,amount,amount,true,not_verified,Review-only schema map; no raw provider payload is committed.
yfinance,Date,trade_date,true,auxiliary_ohlcv_mapping_only,Review-only schema map; no raw provider payload is committed.
yfinance,Open,open,true,auxiliary_ohlcv_mapping_only,Review-only schema map; no raw provider payload is committed.
yfinance,High,high,true,auxiliary_ohlcv_mapping_only,Review-only schema map; no raw provider payload is committed.
yfinance,Low,low,true,auxiliary_ohlcv_mapping_only,Review-only schema map; no raw provider payload is committed.
yfinance,Close,close,true,auxiliary_ohlcv_mapping_only,Review-only schema map; no raw provider payload is committed.
yfinance,Volume,volume,true,auxiliary_ohlcv_mapping_only,Review-only schema map; no raw provider payload is committed.
local_import,trade_date,trade_date,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,symbol,symbol,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,open,open,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,high,high,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,low,low,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,close,close,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,volume,volume,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
local_import,amount,amount,true,committed_source_backed_sample_schema_available,Review-only schema map; no raw provider payload is committed.
