trade_date,baseline_id,metric_name,metric_value,n_symbols,status,warning
2026-06-17,naive_equal_weight_ranking,top_bottom_spread,-0.011,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-17,naive_equal_weight_ranking,top_bucket_mean_target,-0.005,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-17,naive_equal_weight_ranking,bottom_bucket_mean_target,0.006,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-17,score_based_alpha_ranking,rank_ic,1.0,2,PASS,
2026-06-17,score_based_alpha_ranking,spearman_rank_corr,1.0,2,PASS,
2026-06-17,score_based_alpha_ranking,top_bottom_spread,0.011,2,PASS,
2026-06-17,score_based_alpha_ranking,top_bucket_mean_target,0.006,2,PASS,
2026-06-17,score_based_alpha_ranking,bottom_bucket_mean_target,-0.005,2,PASS,
2026-06-17,signal_quality_ranking,rank_ic,1.0,2,PASS,
2026-06-17,signal_quality_ranking,spearman_rank_corr,1.0,2,PASS,
2026-06-17,signal_quality_ranking,top_bottom_spread,0.011,2,PASS,
2026-06-17,signal_quality_ranking,top_bucket_mean_target,0.006,2,PASS,
2026-06-17,signal_quality_ranking,bottom_bucket_mean_target,-0.005,2,PASS,
2026-06-18,naive_equal_weight_ranking,rank_ic,1.0,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-18,naive_equal_weight_ranking,spearman_rank_corr,1.0,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-18,naive_equal_weight_ranking,top_bottom_spread,0.013,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-18,naive_equal_weight_ranking,top_bucket_mean_target,0.009,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-18,naive_equal_weight_ranking,bottom_bucket_mean_target,-0.004,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-18,score_based_alpha_ranking,rank_ic,-1.0,2,PASS,
2026-06-18,score_based_alpha_ranking,spearman_rank_corr,-1.0,2,PASS,
2026-06-18,score_based_alpha_ranking,top_bottom_spread,-0.013,2,PASS,
2026-06-18,score_based_alpha_ranking,top_bucket_mean_target,-0.004,2,PASS,
2026-06-18,score_based_alpha_ranking,bottom_bucket_mean_target,0.009,2,PASS,
2026-06-18,signal_quality_ranking,rank_ic,-1.0,2,PASS,
2026-06-18,signal_quality_ranking,spearman_rank_corr,-1.0,2,PASS,
2026-06-18,signal_quality_ranking,top_bottom_spread,-0.013,2,PASS,
2026-06-18,signal_quality_ranking,top_bucket_mean_target,-0.004,2,PASS,
2026-06-18,signal_quality_ranking,bottom_bucket_mean_target,0.009,2,PASS,
2026-06-19,naive_equal_weight_ranking,rank_ic,-1.0,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-19,naive_equal_weight_ranking,spearman_rank_corr,-1.0,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-19,naive_equal_weight_ranking,top_bottom_spread,-0.003,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-19,naive_equal_weight_ranking,top_bucket_mean_target,0.003,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-19,naive_equal_weight_ranking,bottom_bucket_mean_target,0.006,2,PASS_WITH_WARNINGS,CONSTANT_BASELINE_TIE_BROKEN_BY_SYMBOL
2026-06-19,score_based_alpha_ranking,rank_ic,1.0,2,PASS,
2026-06-19,score_based_alpha_ranking,spearman_rank_corr,1.0,2,PASS,
2026-06-19,score_based_alpha_ranking,top_bottom_spread,0.003,2,PASS,
2026-06-19,score_based_alpha_ranking,top_bucket_mean_target,0.006,2,PASS,
2026-06-19,score_based_alpha_ranking,bottom_bucket_mean_target,0.003,2,PASS,
2026-06-19,signal_quality_ranking,rank_ic,1.0,2,PASS,
2026-06-19,signal_quality_ranking,spearman_rank_corr,1.0,2,PASS,
2026-06-19,signal_quality_ranking,top_bottom_spread,0.003,2,PASS,
2026-06-19,signal_quality_ranking,top_bucket_mean_target,0.006,2,PASS,
2026-06-19,signal_quality_ranking,bottom_bucket_mean_target,0.003,2,PASS,
