candidate_id,readiness_status,base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable,decision_summary
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,not_ready,false,false,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d"
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,not_ready,false,false,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d"
alpha_benchmark_relative_strength_20d__risk_filtered,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__horizon_specific,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_downside_vol_adjusted_strength_20d__risk_filtered,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_price_volume_confirmation_5d__downside_risk_filtered,conditionally_useful,false,true,false,true,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,false,true,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_rank,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,false,false,"not_ready_failed:base_precondition_pass,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_rank,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific__readiness_winsorized_zscore,conditionally_useful,false,true,false,true,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_rank,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_winsorized_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned,not_ready,false,false,true,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_zscore,not_ready,false,false,true,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_rank,not_ready,false,false,true,true,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_winsorized_zscore,not_ready,false,false,true,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_rank,not_ready,false,true,true,true,false,false,"not_ready_failed:base_precondition_pass,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered__readiness_winsorized_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_risk_adjusted_relative_strength__downside_risk_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__horizon_specific,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__liquidity_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_winsorized_zscore,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_risk_adjusted_relative_strength__review_queue_conditioned,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_zscore,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_rank,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_winsorized_zscore,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_risk_adjusted_relative_strength__risk_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__downside_risk_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__horizon_specific,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__horizon_specific__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__liquidity_filtered,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_zscore,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_rank,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_winsorized_zscore,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_vol_adj_momentum_20d__review_queue_conditioned,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_zscore,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_rank,not_ready,false,false,true,true,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient"
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_winsorized_zscore,not_ready,false,false,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d"
alpha_vol_adj_momentum_20d__risk_filtered,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_20d__risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_vol_adj_momentum_5d__downside_risk_filtered,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,false,true,true,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,walk_forward_stable"
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,false,true,true,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,walk_forward_stable"
alpha_vol_adj_momentum_5d__horizon_specific,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_rank,not_ready,false,true,false,false,false,true,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_vol_adj_momentum_5d__horizon_specific__readiness_winsorized_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__liquidity_filtered,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_rank,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_winsorized_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__review_queue_conditioned,not_ready,false,false,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_zscore,not_ready,false,false,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_rank,not_ready,false,false,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_winsorized_zscore,not_ready,false,false,true,false,false,false,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__risk_filtered,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,false,true,false,true,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,aligned_horizons_ge_2"
alpha_vol_adj_momentum_5d__risk_filtered__readiness_winsorized_zscore,not_ready,false,true,false,false,false,false,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
