refined_factor_id,source_factor_id,refinement_type,factor_family,monotonicity_status_1d,monotonicity_status_5d,monotonicity_status_20d,top_minus_bottom_return_spread_1d,top_minus_bottom_return_spread_5d,top_minus_bottom_return_spread_20d,top_minus_bottom_excess_spread_1d,top_minus_bottom_excess_spread_5d,top_minus_bottom_excess_spread_20d,expected_direction_alignment_status,inverse_signal_warning
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0015783628,0.0066646637,0.0213186673,0.0015680452,0.0066503427,0.0213316304,expected_direction_aligned,false
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0016844239,0.0078688104,0.0290997461,0.0016942144,0.0079355470,0.0293370794,expected_direction_aligned,false
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0011610620,0.0062099911,0.0262166067,0.0011610620,0.0062099911,0.0262166067,expected_direction_aligned,false
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0008159859,0.0060843970,0.0277108944,0.0008159859,0.0060843970,0.0277108944,expected_direction_aligned,false
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0024704049,0.0166623014,0.0578808857,0.0024704049,0.0166623014,0.0578808857,expected_direction_aligned,false
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0012393527,0.0059150272,0.0230968302,0.0012290350,0.0059007062,0.0231097933,expected_direction_aligned,false
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0005105962,0.0014152303,0.0076085441,0.0005149534,0.0014582747,0.0078190913,expected_direction_aligned,false
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0002679131,0.0008269094,0.0070689937,0.0002631592,0.0007988200,0.0071415493,expected_direction_aligned,false
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0006719623,0.0025286456,0.0057156162,0.0006719623,0.0025286456,0.0057156162,expected_direction_aligned,false
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0011408271,0.0043602898,0.0151162032,0.0011408271,0.0043602898,0.0151162032,expected_direction_aligned,false
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0003310335,0.0011551041,0.0043905364,0.0003213894,0.0011413402,0.0044151635,expected_direction_aligned,false
