refined_factor_id,row_count,valid_factor_value_count,missing_factor_value_count,unique_symbols,unique_trade_dates,quantile_count,bucket_count,dominant_bucket_share,minimum_bucket_size,duplicate_key_count,construction_status,no_lookahead_status,evaluation_readiness_status,sparse_exposure_warning,refinement_type,source_factor_id
alpha_price_volume_confirmation_5d__liquidity_filtered,6000,4475,1525,50,120,5,4,0.3066666667,910,0,constructed,passed_current_or_past_only,evaluation_ready,false,liquidity_filtered,alpha_price_volume_confirmation_5d
alpha_price_volume_confirmation_5d__review_queue_conditioned,6000,236,5764,50,120,5,4,0.9775000000,28,0,constructed,passed_current_or_past_only,evaluation_ready_with_warnings,true,review_queue_conditioned,alpha_price_volume_confirmation_5d
alpha_price_volume_confirmation_5d__risk_filtered,6000,5465,535,50,120,5,4,0.3730000000,535,0,constructed,passed_current_or_past_only,evaluation_ready,false,risk_filtered,alpha_price_volume_confirmation_5d
alpha_risk_adjusted_relative_strength__downside_risk_filtered,6000,4768,1232,50,120,5,4,0.3233333333,954,0,constructed,passed_current_or_past_only,evaluation_ready,false,downside_risk_filtered,alpha_risk_adjusted_relative_strength
alpha_risk_adjusted_relative_strength__horizon_specific,6000,5000,1000,50,120,5,4,0.3333333333,1000,0,constructed,passed_current_or_past_only,evaluation_ready,false,horizon_specific,alpha_risk_adjusted_relative_strength
alpha_risk_adjusted_relative_strength__liquidity_filtered,6000,3900,2100,50,120,5,4,0.3500000000,800,0,constructed,passed_current_or_past_only,evaluation_ready,false,liquidity_filtered,alpha_risk_adjusted_relative_strength
alpha_risk_adjusted_relative_strength__review_queue_conditioned,6000,1300,4700,50,120,5,4,0.7833333333,200,0,constructed,passed_current_or_past_only,evaluation_ready,false,review_queue_conditioned,alpha_risk_adjusted_relative_strength
alpha_risk_adjusted_relative_strength__risk_filtered,6000,4735,1265,50,120,5,4,0.3231666667,941,0,constructed,passed_current_or_past_only,evaluation_ready,false,risk_filtered,alpha_risk_adjusted_relative_strength
alpha_vol_adj_momentum_20d__downside_risk_filtered,6000,4768,1232,50,120,5,4,0.3233333333,954,0,constructed,passed_current_or_past_only,evaluation_ready,false,downside_risk_filtered,alpha_vol_adj_momentum_20d
alpha_vol_adj_momentum_20d__horizon_specific,6000,5000,1000,50,120,5,4,0.3333333333,1000,0,constructed,passed_current_or_past_only,evaluation_ready,false,horizon_specific,alpha_vol_adj_momentum_20d
alpha_vol_adj_momentum_20d__liquidity_filtered,6000,3900,2100,50,120,5,4,0.3500000000,800,0,constructed,passed_current_or_past_only,evaluation_ready,false,liquidity_filtered,alpha_vol_adj_momentum_20d
alpha_vol_adj_momentum_20d__review_queue_conditioned,6000,1300,4700,50,120,5,4,0.7833333333,200,0,constructed,passed_current_or_past_only,evaluation_ready,false,review_queue_conditioned,alpha_vol_adj_momentum_20d
alpha_vol_adj_momentum_20d__risk_filtered,6000,4735,1265,50,120,5,4,0.3231666667,941,0,constructed,passed_current_or_past_only,evaluation_ready,false,risk_filtered,alpha_vol_adj_momentum_20d
alpha_vol_adj_momentum_5d__downside_risk_filtered,6000,5508,492,50,120,5,4,0.3733333333,492,0,constructed,passed_current_or_past_only,evaluation_ready,false,downside_risk_filtered,alpha_vol_adj_momentum_5d
alpha_vol_adj_momentum_5d__horizon_specific,6000,5744,256,50,120,5,4,0.3833333333,256,0,constructed,passed_current_or_past_only,evaluation_ready,false,horizon_specific,alpha_vol_adj_momentum_5d
alpha_vol_adj_momentum_5d__liquidity_filtered,6000,4479,1521,50,120,5,4,0.3066666667,914,0,constructed,passed_current_or_past_only,evaluation_ready,false,liquidity_filtered,alpha_vol_adj_momentum_5d
alpha_vol_adj_momentum_5d__review_queue_conditioned,6000,1495,4505,50,120,5,4,0.7508333333,230,0,constructed,passed_current_or_past_only,evaluation_ready,false,review_queue_conditioned,alpha_vol_adj_momentum_5d
alpha_vol_adj_momentum_5d__risk_filtered,6000,5465,535,50,120,5,4,0.3730000000,535,0,constructed,passed_current_or_past_only,evaluation_ready,false,risk_filtered,alpha_vol_adj_momentum_5d
