asof_date,symbol,reference_policy_weight,acceptable_band_min,acceptable_band_max,target_weight,current_weight,constraint_breach,abstain,abstention_reason,confidence_score,band_methodology,regime_risk_state,alpha_required,constraint_integration_status,order_instruction,research_only,not_trading_advice,not_for_execution
2026-06-30,000651.SZ,0.0331880887,,,,,not_evaluated_no_current_holdings,true,unresolved_provider_discrepancy,0.82,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,000725.SZ,0.0323409163,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence,0.7,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,000786.SZ,0.0249657702,0.0099863081,0.0399452323,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000895.SZ,0.0429497719,,,,,not_evaluated_no_current_holdings,true,unresolved_provider_discrepancy,0.82,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,000938.SZ,0.0168450607,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence,0.7,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,000963.SZ,0.0273323149,0.010932926,0.0437317038,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,001979.SZ,0.0215144749,0.00860579,0.0344231599,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002236.SZ,0.0187145963,0.0074858385,0.029943354,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002241.SZ,0.0197486178,0.0078994471,0.0315977884,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002311.SZ,0.0304884967,0.0121953987,0.0487815947,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002352.SZ,0.0334059172,0.0133623669,0.0534494676,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002371.SZ,0.0211960525,0.008478421,0.033913684,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002415.SZ,0.0284771371,,,,,not_evaluated_no_current_holdings,true,unresolved_provider_discrepancy,0.82,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,002460.SZ,0.0196788529,0.0078715412,0.0314861646,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002466.SZ,0.019672309,0.0078689236,0.0314756944,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002493.SZ,0.0285865351,0.011434614,0.0457384561,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002594.SZ,0.0271588037,0.0108635215,0.0434540859,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002601.SZ,0.0286846119,0.0114738448,0.045895379,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002714.SZ,0.0306805781,0.0122722313,0.049088925,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002736.SZ,0.0322143419,0.0128857367,0.051542947,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002812.SZ,0.0185561963,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence;unresolved_provider_discrepancy,0.52,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,002821.SZ,0.0205828911,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence,0.7,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,002841.SZ,0.0229085192,0.0091634077,0.0366536307,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,002916.SZ,0.0194155968,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence,0.7,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,002920.SZ,0.0168722597,0.0067489039,0.0269956154,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,300015.SZ,0.0200196672,0.0080078669,0.0320314674,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,300033.SZ,0.0123160767,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence;unresolved_provider_discrepancy;unstable_band_sensitivity,0.34,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,300059.SZ,0.0175743875,0.007029755,0.02811902,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,300122.SZ,0.0185346086,0.0074138434,0.0296553737,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,300502.SZ,0.0112297515,,,,,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence;unstable_band_sensitivity,0.52,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,abstain_due_to_data_or_constraint_uncertainty,none,true,true,true
2026-06-30,300628.SZ,0.0197780972,0.0079112389,0.0316449555,,,not_evaluated_no_current_holdings,false,,1,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
