refined_factor_id,source_factor_id,refinement_type,factor_family,1d_direction_status,5d_direction_status,20d_direction_status,horizon_consistency_status,conflicting_horizon_warning,strongest_horizon,weakest_horizon
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
