refined_factor_id,source_factor_id,refinement_type,factor_family,evaluated_regime_count,informative_regime_count,conditionally_useful_regime_count,ready_regime_count,best_regime_label,best_regime_mean_ic_1d,regime_specificity_status,overall_factor_status,candidate_for_rec_tiering,no_lookahead_status,non_actionable_disclaimer
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,6,5,2,0,risk_on_low_vol_review_only,-0.0665594108,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,price_volume_confirmation,6,5,1,0,risk_on_low_vol_review_only,-0.0519833166,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,price_volume_confirmation,6,5,1,0,mixed_uncertain_review_only,-0.0567553648,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,price_volume_confirmation,6,5,0,0,risk_off_high_vol_review_only,0.5359150621,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,price_volume_confirmation,6,5,1,0,risk_on_low_vol_review_only,-0.0656402156,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,6,5,2,0,risk_on_low_vol_review_only,-0.2330950075,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,risk_adjusted_alpha_candidate,6,5,1,0,risk_on_low_vol_review_only,-0.2011529130,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,risk_adjusted_alpha_candidate,6,5,1,0,risk_on_low_vol_review_only,-0.2092590838,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,risk_adjusted_alpha_candidate,6,5,0,0,risk_on_low_vol_review_only,-0.2395806957,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,risk_adjusted_alpha_candidate,6,5,1,0,mixed_uncertain_review_only,0.0634320103,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,6,5,2,0,risk_on_low_vol_review_only,-0.1796913294,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,volatility_adjusted_momentum,6,5,0,0,risk_on_low_vol_review_only,-0.1248484102,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,volatility_adjusted_momentum,6,5,1,0,risk_on_low_vol_review_only,-0.1202864806,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,volatility_adjusted_momentum,6,5,0,0,risk_on_low_vol_review_only,-0.2206786163,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,volatility_adjusted_momentum,6,5,0,0,risk_on_low_vol_review_only,-0.0784123393,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,volatility_adjusted_momentum,6,5,1,0,risk_on_high_vol_review_only,0.0496174526,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,volatility_adjusted_momentum,6,5,1,0,risk_on_high_vol_review_only,0.0491785182,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,volatility_adjusted_momentum,6,5,1,0,risk_on_high_vol_review_only,0.0604857446,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,volatility_adjusted_momentum,6,5,0,0,risk_on_low_vol_review_only,-0.2649284714,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,volatility_adjusted_momentum,6,5,1,0,risk_on_high_vol_review_only,0.0665100538,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
