factor_id,factor_family,slice_dimension,slice_value,row_count,unique_symbols,unique_trade_dates,mean_rank_ic_20d,mean_top_bottom_excess_spread_20d,aligned_window_count,inverse_window_count,stability_classification,slicing_group_source,no_lookahead_policy,not_evaluated_status
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_queue_category,liquidity_review_queue,1320,11,120,0.1150000000,0.0097522040,57,43,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_queue_category,volatility_momentum_review_queue,1800,15,120,-0.0464285714,-0.0011920187,40,50,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_priority_level,FACTOR_RESEARCH_REVIEW,1320,11,120,-0.0566363636,-0.0119632400,22,78,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_priority_level,LIQUIDITY_REVIEW,1320,11,120,0.1150000000,0.0097522040,57,43,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_priority_level,RISK_REVIEW,1560,13,120,0.1542307692,0.0613727906,71,27,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_priority_level,VOLATILITY_REVIEW,1800,15,120,-0.0464285714,-0.0011920187,40,50,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,liquidity_review_queue_membership,liquidity_member,1320,11,120,0.1150000000,0.0097522040,57,43,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,liquidity_review_queue_membership,non_liquidity_member,4680,39,120,0.0551234818,0.0231499700,68,29,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,volatility_momentum_review_membership,non_volatility_momentum_member,2640,22,120,0.0022811971,-0.0013029978,52,48,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,volatility_momentum_review_membership,volatility_momentum_member,3360,28,120,0.0680733443,0.0287333456,69,28,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_score_bucket,HIGH_RISK_REVIEW_ONLY,278,28,101,-0.0129464286,-0.0244233990,22,59,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_score_bucket,INSUFFICIENT_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_score_bucket,LOW_RISK_REVIEW_ONLY,2891,48,120,-0.0131539309,-0.0024575990,14,87,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_score_bucket,MEDIUM_RISK_REVIEW_ONLY,2821,49,120,0.0614938000,0.0131704167,89,6,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_bucket,HIGH_DOWNSIDE_RISK_REVIEW_ONLY,239,41,75,0.0446497072,0.0252177421,32,9,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_bucket,INSUFFICIENT_DOWNSIDE_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_bucket,LOW_DOWNSIDE_RISK_REVIEW_ONLY,3864,50,120,0.0219327328,0.0065902892,50,44,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_bucket,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,1887,49,120,0.0299663371,-0.0070293003,24,71,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_queue_category,factor_not_ready_review_queue,1320,11,120,-0.0626086957,-0.0096263105,21,78,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_queue_category,high_downside_risk_review_queue,1560,13,120,0.0904443383,0.0212299027,80,21,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_queue_category,liquidity_review_queue,1320,11,120,0.0425296443,-0.0011681763,53,48,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_queue_category,volatility_momentum_review_queue,1800,15,120,-0.0113999044,-0.0035390998,46,46,condition_mixed_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_priority_level,FACTOR_RESEARCH_REVIEW,1320,11,120,-0.0626086957,-0.0096263105,21,78,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_priority_level,LIQUIDITY_REVIEW,1320,11,120,0.0425296443,-0.0011681763,53,48,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_priority_level,RISK_REVIEW,1560,13,120,0.0904443383,0.0212299027,80,21,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,mvp_review_priority_level,VOLATILITY_REVIEW,1800,15,120,-0.0113999044,-0.0035390998,46,46,condition_mixed_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,liquidity_review_queue_membership,liquidity_member,1320,11,120,0.0425296443,-0.0011681763,53,48,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,liquidity_review_queue_membership,non_liquidity_member,4680,39,120,0.0218711841,0.0057928376,59,42,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,volatility_momentum_review_membership,non_volatility_momentum_member,2640,22,120,-0.0210689122,-0.0047987938,34,66,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,volatility_momentum_review_membership,volatility_momentum_member,3360,28,120,0.0447199760,0.0080680930,58,43,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_score_bucket,HIGH_RISK_REVIEW_ONLY,278,28,101,0.0258928571,0.0131121088,35,28,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_score_bucket,INSUFFICIENT_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_score_bucket,LOW_RISK_REVIEW_ONLY,2891,48,120,0.0292566273,0.0174170615,59,36,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_score_bucket,MEDIUM_RISK_REVIEW_ONLY,2821,49,120,0.0853528824,0.0289342235,76,23,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_bucket,HIGH_DOWNSIDE_RISK_REVIEW_ONLY,239,41,75,0.0960254510,0.0183079087,37,14,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_bucket,INSUFFICIENT_DOWNSIDE_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_bucket,LOW_DOWNSIDE_RISK_REVIEW_ONLY,3864,50,120,0.0463385092,0.0253134378,69,20,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_bucket,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,1887,49,120,0.0152722560,0.0251510574,64,29,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_queue_category,factor_not_ready_review_queue,1320,11,120,-0.1027272727,-0.0133744909,15,83,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_queue_category,high_downside_risk_review_queue,1560,13,120,0.1773076923,0.0668361238,74,25,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_queue_category,liquidity_review_queue,1320,11,120,0.0558181818,0.0051236621,55,40,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_queue_category,volatility_momentum_review_queue,1800,15,120,-0.0006785714,0.0072759032,42,41,condition_mixed_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_priority_level,FACTOR_RESEARCH_REVIEW,1320,11,120,-0.1027272727,-0.0133744909,15,83,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_priority_level,LIQUIDITY_REVIEW,1320,11,120,0.0558181818,0.0051236621,55,40,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_priority_level,RISK_REVIEW,1560,13,120,0.1773076923,0.0668361238,74,25,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,mvp_review_priority_level,VOLATILITY_REVIEW,1800,15,120,-0.0006785714,0.0072759032,42,41,condition_mixed_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,liquidity_review_queue_membership,liquidity_member,1320,11,120,0.0558181818,0.0051236621,55,40,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,liquidity_review_queue_membership,non_liquidity_member,4680,39,120,0.0632085020,0.0275532541,72,23,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,volatility_momentum_review_membership,non_volatility_momentum_member,2640,22,120,-0.0425183512,-0.0042693665,45,54,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,volatility_momentum_review_membership,volatility_momentum_member,3360,28,120,0.0980897646,0.0359111845,71,24,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_score_bucket,HIGH_RISK_REVIEW_ONLY,278,28,101,-0.1818115176,-0.0088702912,19,57,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_score_bucket,INSUFFICIENT_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_score_bucket,LOW_RISK_REVIEW_ONLY,2891,48,120,-0.0043543578,0.0006744205,31,63,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_score_bucket,MEDIUM_RISK_REVIEW_ONLY,2821,49,120,0.0207220042,0.0115015472,45,30,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_bucket,HIGH_DOWNSIDE_RISK_REVIEW_ONLY,239,41,75,0.1126996996,0.0006420102,32,23,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_bucket,INSUFFICIENT_DOWNSIDE_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_bucket,LOW_DOWNSIDE_RISK_REVIEW_ONLY,3864,50,120,0.0356691084,0.0068695001,44,39,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_bucket,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,1887,49,120,-0.0083891762,0.0106583985,43,38,condition_mixed_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_queue_category,factor_not_ready_review_queue,1320,11,120,-0.0468007030,0.0012070274,25,45,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_queue_category,high_downside_risk_review_queue,1560,13,120,0.0764572289,0.0193206270,72,20,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_queue_category,liquidity_review_queue,1320,11,120,-0.0530536850,-0.0119519537,22,68,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_queue_category,volatility_momentum_review_queue,1800,15,120,-0.0345874258,-0.0042901834,19,64,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_priority_level,FACTOR_RESEARCH_REVIEW,1320,11,120,-0.0468007030,0.0012070274,25,45,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_priority_level,LIQUIDITY_REVIEW,1320,11,120,-0.0530536850,-0.0119519537,22,68,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_priority_level,RISK_REVIEW,1560,13,120,0.0764572289,0.0193206270,72,20,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,mvp_review_priority_level,VOLATILITY_REVIEW,1800,15,120,-0.0345874258,-0.0042901834,19,64,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,liquidity_review_queue_membership,liquidity_member,1320,11,120,-0.0530536850,-0.0119519537,22,68,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,liquidity_review_queue_membership,non_liquidity_member,4680,39,120,0.0189155022,0.0100379316,55,26,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,volatility_momentum_review_membership,non_volatility_momentum_member,2640,22,120,-0.0401519799,-0.0052237246,33,58,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d,price_volume_confirmation,volatility_momentum_review_membership,volatility_momentum_member,3360,28,120,0.0282859485,0.0060046117,46,42,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,risk_score_bucket,HIGH_RISK_REVIEW_ONLY,278,28,101,0.0611607143,-0.0027275288,36,31,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,risk_score_bucket,INSUFFICIENT_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
