factor_id,factor_family,group_type,group_value,row_count,unique_symbols,unique_trade_dates,bucket_count,quantile_count,dominant_bucket_share,minimum_bucket_size,missing_factor_value_count,duplicate_key_count,factor_collapse_detected,group_imbalance_warning,quantile_coverage_status,mean_forward_return_1d,median_forward_return_1d,hit_rate_1d,mean_forward_return_5d,median_forward_return_5d,hit_rate_5d,mean_forward_return_20d,median_forward_return_20d,hit_rate_20d,mean_benchmark_excess_return_1d,median_benchmark_excess_return_1d,positive_excess_rate_1d,mean_benchmark_excess_return_5d,median_benchmark_excess_return_5d,positive_excess_rate_5d,mean_benchmark_excess_return_20d,median_benchmark_excess_return_20d,positive_excess_rate_20d
downside_risk_score_numeric,downside_risk_score,factor_bucket,Q2,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0009826565,-0.0017351913,0.4691666667,-0.0014885541,-0.0030439429,0.4566666667,-0.0051192903,-0.0145483407,0.4158333333,-0.0014826223,-0.0026460718,0.4225000000,-0.0051876784,-0.0080229233,0.4175000000,-0.0170713869,-0.0294132896,0.3675000000
downside_risk_score_numeric,downside_risk_score,factor_bucket,Q3,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0000496838,-0.0008822234,0.4700000000,0.0033115152,0.0000000000,0.4975000000,0.0039446416,-0.0102284553,0.4625000000,-0.0005496497,-0.0015229158,0.4441666667,-0.0003876092,-0.0045830890,0.4383333333,-0.0080074550,-0.0257603468,0.3975000000
downside_risk_score_numeric,downside_risk_score,factor_bucket,Q4,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0002541177,-0.0017349533,0.4458333333,-0.0009276210,-0.0046007421,0.4516666667,-0.0121790325,-0.0274043255,0.3766666667,-0.0002458482,-0.0016086920,0.4516666667,-0.0046267454,-0.0064527997,0.4166666667,-0.0241311291,-0.0379831394,0.3308333333
downside_risk_score_numeric,downside_risk_score,factor_bucket,Q5,1200,47,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0007770523,-0.0007550457,0.4700000000,0.0018863075,-0.0030558813,0.4591666667,-0.0038406879,-0.0272500138,0.3791666667,0.0002770864,-0.0017298466,0.4516666667,-0.0018128169,-0.0071662843,0.4225000000,-0.0157927845,-0.0382681863,0.3341666667
downside_risk_score_numeric,downside_risk_score,factor_quantile,1,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0003868259,-0.0016050545,0.4441666667,-0.0005925475,-0.0044329926,0.4458333333,0.0027413220,-0.0105449874,0.4483333333,-0.0008867917,-0.0028303923,0.4158333333,-0.0042916719,-0.0083899270,0.4008333333,-0.0092107746,-0.0237725190,0.3733333333
downside_risk_score_numeric,downside_risk_score,factor_quantile,2,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0009826565,-0.0017351913,0.4691666667,-0.0014885541,-0.0030439429,0.4566666667,-0.0051192903,-0.0145483407,0.4158333333,-0.0014826223,-0.0026460718,0.4225000000,-0.0051876784,-0.0080229233,0.4175000000,-0.0170713869,-0.0294132896,0.3675000000
downside_risk_score_numeric,downside_risk_score,factor_quantile,3,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0000496838,-0.0008822234,0.4700000000,0.0033115152,0.0000000000,0.4975000000,0.0039446416,-0.0102284553,0.4625000000,-0.0005496497,-0.0015229158,0.4441666667,-0.0003876092,-0.0045830890,0.4383333333,-0.0080074550,-0.0257603468,0.3975000000
downside_risk_score_numeric,downside_risk_score,factor_quantile,4,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0002541177,-0.0017349533,0.4458333333,-0.0009276210,-0.0046007421,0.4516666667,-0.0121790325,-0.0274043255,0.3766666667,-0.0002458482,-0.0016086920,0.4516666667,-0.0046267454,-0.0064527997,0.4166666667,-0.0241311291,-0.0379831394,0.3308333333
downside_risk_score_numeric,downside_risk_score,factor_quantile,5,1200,47,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0007770523,-0.0007550457,0.4700000000,0.0018863075,-0.0030558813,0.4591666667,-0.0038406879,-0.0272500138,0.3791666667,0.0002770864,-0.0017298466,0.4516666667,-0.0018128169,-0.0071662843,0.4225000000,-0.0157927845,-0.0382681863,0.3341666667
volatility_component,risk_component,factor_overall,all,6000,50,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
volatility_component,risk_component,factor_bucket,Q1,1200,15,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0006719292,-0.0014164814,0.4366666667,-0.0023238219,-0.0040330987,0.4333333333,-0.0115099365,-0.0157066695,0.3941666667,-0.0011718951,-0.0023210604,0.4175000000,-0.0060229462,-0.0088042933,0.3841666667,-0.0234620332,-0.0255350363,0.3200000000
volatility_component,risk_component,factor_bucket,Q2,1200,19,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0004712744,-0.0014205100,0.4508333333,-0.0017815264,-0.0039085474,0.4508333333,-0.0100506301,-0.0231036528,0.3825000000,-0.0009712403,-0.0020275655,0.4258333333,-0.0054806508,-0.0073077637,0.4016666667,-0.0220027267,-0.0312320255,0.3316666667
volatility_component,risk_component,factor_bucket,Q3,1200,29,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0006830897,-0.0015933454,0.4641666667,-0.0022617936,-0.0041349552,0.4483333333,-0.0056805497,-0.0179554265,0.4133333333,-0.0011830556,-0.0019374108,0.4350000000,-0.0059609180,-0.0084531717,0.3900000000,-0.0176326464,-0.0322449930,0.3575000000
volatility_component,risk_component,factor_bucket,Q4,1200,37,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0001266312,-0.0016466747,0.4675000000,0.0002441628,-0.0039548567,0.4608333333,-0.0099572709,-0.0314792527,0.3833333333,-0.0003733346,-0.0017904045,0.4475000000,-0.0034549616,-0.0064653146,0.4258333333,-0.0219093675,-0.0405871621,0.3308333333
volatility_component,risk_component,factor_bucket,Q5,1200,31,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0013116661,-0.0004749079,0.4800000000,0.0083120792,0.0041329837,0.5175000000,0.0227453401,0.0036749082,0.5091666667,0.0008117002,-0.0020377862,0.4600000000,0.0046129548,-0.0011321962,0.4941666667,0.0107932435,-0.0148797942,0.4633333333
volatility_component,risk_component,factor_quantile,1,1200,15,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0006719292,-0.0014164814,0.4366666667,-0.0023238219,-0.0040330987,0.4333333333,-0.0115099365,-0.0157066695,0.3941666667,-0.0011718951,-0.0023210604,0.4175000000,-0.0060229462,-0.0088042933,0.3841666667,-0.0234620332,-0.0255350363,0.3200000000
volatility_component,risk_component,factor_quantile,2,1200,19,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0004712744,-0.0014205100,0.4508333333,-0.0017815264,-0.0039085474,0.4508333333,-0.0100506301,-0.0231036528,0.3825000000,-0.0009712403,-0.0020275655,0.4258333333,-0.0054806508,-0.0073077637,0.4016666667,-0.0220027267,-0.0312320255,0.3316666667
volatility_component,risk_component,factor_quantile,3,1200,29,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0006830897,-0.0015933454,0.4641666667,-0.0022617936,-0.0041349552,0.4483333333,-0.0056805497,-0.0179554265,0.4133333333,-0.0011830556,-0.0019374108,0.4350000000,-0.0059609180,-0.0084531717,0.3900000000,-0.0176326464,-0.0322449930,0.3575000000
volatility_component,risk_component,factor_quantile,4,1200,37,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0001266312,-0.0016466747,0.4675000000,0.0002441628,-0.0039548567,0.4608333333,-0.0099572709,-0.0314792527,0.3833333333,-0.0003733346,-0.0017904045,0.4475000000,-0.0034549616,-0.0064653146,0.4258333333,-0.0219093675,-0.0405871621,0.3308333333
volatility_component,risk_component,factor_quantile,5,1200,31,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0013116661,-0.0004749079,0.4800000000,0.0083120792,0.0041329837,0.5175000000,0.0227453401,0.0036749082,0.5091666667,0.0008117002,-0.0020377862,0.4600000000,0.0046129548,-0.0011321962,0.4941666667,0.0107932435,-0.0148797942,0.4633333333
momentum_component,momentum_component,factor_overall,all,6000,50,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
momentum_component,momentum_component,factor_bucket,Q1,1200,20,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0007274071,-0.0015032420,0.4408333333,-0.0048142864,-0.0045693504,0.4241666667,-0.0122394497,-0.0173844067,0.3858333333,-0.0012273730,-0.0022012848,0.4158333333,-0.0085134108,-0.0094087382,0.3700000000,-0.0241915463,-0.0273873510,0.3250000000
momentum_component,momentum_component,factor_bucket,Q2,1200,33,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0006385912,-0.0017678174,0.4400000000,-0.0021487325,-0.0060482244,0.4300000000,-0.0155272446,-0.0290554134,0.3600000000,-0.0011385571,-0.0022570435,0.4275000000,-0.0058478568,-0.0084632202,0.3991666667,-0.0274793412,-0.0384637122,0.3075000000
momentum_component,momentum_component,factor_bucket,Q3,1200,43,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0000654351,-0.0006842530,0.4791666667,-0.0001350946,-0.0029730145,0.4708333333,-0.0016955118,-0.0181090808,0.4075000000,-0.0005654010,-0.0016851000,0.4550000000,-0.0038342190,-0.0062353068,0.4283333333,-0.0136476084,-0.0296305721,0.3600000000
momentum_component,momentum_component,factor_bucket,Q4,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0000694236,-0.0009623264,0.4625000000,0.0017385185,-0.0018382701,0.4708333333,-0.0011217805,-0.0177283189,0.4316666667,-0.0004305423,-0.0019470482,0.4383333333,-0.0019606058,-0.0060391066,0.4233333333,-0.0130738771,-0.0332447645,0.3566666667
momentum_component,momentum_component,factor_bucket,Q5,1200,48,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0009740138,-0.0014938212,0.4766666667,0.0075486950,0.0016110995,0.5150000000,0.0161309393,-0.0005040923,0.4975000000,0.0004740479,-0.0021138314,0.4491666667,0.0038495707,-0.0032738819,0.4750000000,0.0041788427,-0.0156255175,0.4541666667
momentum_component,momentum_component,factor_quantile,1,1200,20,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0007274071,-0.0015032420,0.4408333333,-0.0048142864,-0.0045693504,0.4241666667,-0.0122394497,-0.0173844067,0.3858333333,-0.0012273730,-0.0022012848,0.4158333333,-0.0085134108,-0.0094087382,0.3700000000,-0.0241915463,-0.0273873510,0.3250000000
momentum_component,momentum_component,factor_quantile,2,1200,33,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0006385912,-0.0017678174,0.4400000000,-0.0021487325,-0.0060482244,0.4300000000,-0.0155272446,-0.0290554134,0.3600000000,-0.0011385571,-0.0022570435,0.4275000000,-0.0058478568,-0.0084632202,0.3991666667,-0.0274793412,-0.0384637122,0.3075000000
momentum_component,momentum_component,factor_quantile,3,1200,43,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0000654351,-0.0006842530,0.4791666667,-0.0001350946,-0.0029730145,0.4708333333,-0.0016955118,-0.0181090808,0.4075000000,-0.0005654010,-0.0016851000,0.4550000000,-0.0038342190,-0.0062353068,0.4283333333,-0.0136476084,-0.0296305721,0.3600000000
momentum_component,momentum_component,factor_quantile,4,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0000694236,-0.0009623264,0.4625000000,0.0017385185,-0.0018382701,0.4708333333,-0.0011217805,-0.0177283189,0.4316666667,-0.0004305423,-0.0019470482,0.4383333333,-0.0019606058,-0.0060391066,0.4233333333,-0.0130738771,-0.0332447645,0.3566666667
momentum_component,momentum_component,factor_quantile,5,1200,48,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0009740138,-0.0014938212,0.4766666667,0.0075486950,0.0016110995,0.5150000000,0.0161309393,-0.0005040923,0.4975000000,0.0004740479,-0.0021138314,0.4491666667,0.0038495707,-0.0032738819,0.4750000000,0.0041788427,-0.0156255175,0.4541666667
abnormal_positive_movement_flag,abnormal_movement_flag,factor_overall,all,6000,50,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
abnormal_positive_movement_flag,abnormal_movement_flag,factor_bucket,FLAG_FALSE,5721,50,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,-0.0001433992,-0.0012863391,0.4579618948,0.0000960756,-0.0032715376,0.4588358679,-0.0042411983,-0.0183561644,0.4114665268,-0.0006792331,-0.0019972818,0.4369865408,-0.0035449648,-0.0069649495,0.4147876245,-0.0161866522,-0.0312509126,0.3550078658
abnormal_positive_movement_flag,abnormal_movement_flag,factor_bucket,FLAG_TRUE,279,42,93,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,0.0012716532,0.0000000000,0.4982078853,0.0074454181,0.0052827843,0.5304659498,0.0248037226,0.0115325830,0.5197132616,0.0015071760,-0.0026505158,0.4408602151,0.0025552594,0.0019939922,0.5089605735,0.0127154160,-0.0061224278,0.4767025090
abnormal_positive_movement_flag,abnormal_movement_flag,factor_quantile,1,1200,14,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,0.0001128096,-0.0011256496,0.4500000000,-0.0011154423,-0.0026448985,0.4575000000,-0.0058805299,-0.0138527972,0.4066666667,-0.0003871562,-0.0019655842,0.4291666667,-0.0048145666,-0.0068248395,0.4033333333,-0.0178326265,-0.0248529276,0.3383333333
abnormal_positive_movement_flag,abnormal_movement_flag,factor_quantile,2,1200,18,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,-0.0010234982,-0.0020555180,0.4316666667,-0.0043354689,-0.0070398008,0.4075000000,-0.0171290634,-0.0296150038,0.3625000000,-0.0015234641,-0.0026328840,0.4175000000,-0.0080345933,-0.0106745251,0.3700000000,-0.0290811600,-0.0394457923,0.3041666667
abnormal_positive_movement_flag,abnormal_movement_flag,factor_quantile,3,1200,20,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,-0.0003105467,-0.0011289576,0.4608333333,-0.0004357843,-0.0023809614,0.4825000000,-0.0065596132,-0.0178734578,0.4125000000,-0.0008105126,-0.0021677121,0.4483333333,-0.0041349086,-0.0055135240,0.4375000000,-0.0185117098,-0.0283147284,0.3733333333
abnormal_positive_movement_flag,abnormal_movement_flag,factor_quantile,4,1200,26,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,0.0007421757,0.0000000000,0.4841666667,0.0047189113,-0.0011431833,0.4833333333,0.0122323234,-0.0078107883,0.4700000000,0.0002422098,-0.0014350028,0.4591666667,0.0010197870,-0.0050320493,0.4458333333,0.0002802268,-0.0265434692,0.4116666667
abnormal_positive_movement_flag,abnormal_movement_flag,factor_quantile,5,1200,41,120,2,5,0.9535000000,279,0,0,true,true,quantile_coverage_complete,0.0000910634,-0.0013848833,0.4725000000,0.0033568842,-0.0017501186,0.4800000000,0.0028838358,-0.0184665746,0.4308333333,-0.0004089025,-0.0024031052,0.4316666667,-0.0003422402,-0.0050718250,0.4391666667,-0.0090682608,-0.0337739770,0.3758333333
abnormal_negative_movement_flag,abnormal_movement_flag,factor_overall,all,6000,50,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
abnormal_negative_movement_flag,abnormal_movement_flag,factor_bucket,FLAG_FALSE,5402,50,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,-0.0003296974,-0.0015400671,0.4527952610,-0.0000698551,-0.0031120332,0.4594594595,-0.0032521503,-0.0172501313,0.4157719363,-0.0007553276,-0.0020602142,0.4331728989,-0.0036392408,-0.0066896023,0.4144761200,-0.0145761392,-0.0294515126,0.3624583488
abnormal_negative_movement_flag,abnormal_movement_flag,factor_bucket,FLAG_TRUE,598,49,110,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,0.0021997158,0.0022681914,0.5234113712,0.0050238754,-0.0025955384,0.4866220736,0.0003753496,-0.0227737027,0.4230769231,0.0010282429,-0.0011340630,0.4732441472,0.0001527635,-0.0072279052,0.4615384615,-0.0172507230,-0.0443742966,0.3444816054
abnormal_negative_movement_flag,abnormal_movement_flag,factor_quantile,1,1200,22,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,-0.0010538397,-0.0017301038,0.4391666667,-0.0014470064,-0.0037694083,0.4491666667,-0.0070409077,-0.0163102493,0.3958333333,-0.0015538056,-0.0020519518,0.4191666667,-0.0051461308,-0.0073570438,0.3975000000,-0.0189930043,-0.0259418354,0.3308333333
abnormal_negative_movement_flag,abnormal_movement_flag,factor_quantile,2,1200,28,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,-0.0004161306,-0.0015621949,0.4416666667,-0.0024272605,-0.0052616924,0.4308333333,-0.0129382981,-0.0237379700,0.3941666667,-0.0009160965,-0.0019902634,0.4341666667,-0.0061263849,-0.0085972865,0.3933333333,-0.0248903948,-0.0344048153,0.3258333333
abnormal_negative_movement_flag,abnormal_movement_flag,factor_quantile,3,1200,34,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,-0.0002298160,-0.0012958411,0.4666666667,0.0006319304,-0.0011788357,0.4883333333,0.0019517899,-0.0138794239,0.4358333333,-0.0007297819,-0.0027215695,0.4391666667,-0.0030671939,-0.0051913836,0.4375000000,-0.0100003068,-0.0259686606,0.3991666667
abnormal_negative_movement_flag,abnormal_movement_flag,factor_quantile,4,1200,44,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,0.0009323861,-0.0002106289,0.4816666667,0.0021878739,-0.0021436092,0.4691666667,0.0026837555,-0.0133971925,0.4425000000,0.0004324202,-0.0015172981,0.4541666667,-0.0015112505,-0.0062072055,0.4283333333,-0.0092683411,-0.0295842488,0.3850000000
abnormal_negative_movement_flag,abnormal_movement_flag,factor_quantile,5,1200,43,120,2,5,0.9003333333,598,0,0,true,true,quantile_coverage_complete,0.0003794041,-0.0012171710,0.4700000000,0.0032435627,-0.0030687898,0.4733333333,0.0008906133,-0.0243363692,0.4141666667,-0.0001205618,-0.0021628107,0.4391666667,-0.0004555617,-0.0067530465,0.4391666667,-0.0110614833,-0.0364968832,0.3625000000
provider_crosscheck_component,source_quality_component,factor_overall,all,6000,50,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
provider_crosscheck_component,source_quality_component,factor_bucket,Q1,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0001577830,-0.0011441888,0.4500000000,-0.0005088428,-0.0020534660,0.4658333333,-0.0034001775,-0.0127562880,0.4183333333,-0.0006577489,-0.0019964455,0.4291666667,-0.0042079672,-0.0062734448,0.4100000000,-0.0153522742,-0.0241343698,0.3466666667
provider_crosscheck_component,source_quality_component,factor_bucket,Q2,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0008802791,-0.0020555180,0.4333333333,-0.0042119395,-0.0071385983,0.4041666667,-0.0174251987,-0.0299720588,0.3625000000,-0.0013802450,-0.0026246278,0.4191666667,-0.0079110639,-0.0106764959,0.3725000000,-0.0293772953,-0.0396281354,0.3083333333
provider_crosscheck_component,source_quality_component,factor_bucket,Q3,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0002906444,-0.0010576489,0.4633333333,-0.0004549630,-0.0019225261,0.4816666667,-0.0075002799,-0.0195220733,0.4100000000,-0.0007906103,-0.0021492342,0.4458333333,-0.0041540874,-0.0054976544,0.4333333333,-0.0194523765,-0.0288994893,0.3658333333
provider_crosscheck_component,source_quality_component,factor_bucket,Q4,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0004988941,-0.0004035296,0.4808333333,0.0036713128,-0.0011431833,0.4841666667,0.0096597321,-0.0080831040,0.4700000000,-0.0000010718,-0.0017591671,0.4533333333,-0.0000278115,-0.0045232494,0.4483333333,-0.0022923645,-0.0254174978,0.4100000000
provider_crosscheck_component,source_quality_component,factor_bucket,Q5,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0004418164,-0.0013848833,0.4716666667,0.0036935326,-0.0021771561,0.4750000000,0.0042128768,-0.0207755895,0.4216666667,-0.0000581495,-0.0019254520,0.4383333333,-0.0000055918,-0.0065583010,0.4316666667,-0.0077392198,-0.0351146254,0.3725000000
provider_crosscheck_component,source_quality_component,factor_quantile,1,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0001577830,-0.0011441888,0.4500000000,-0.0005088428,-0.0020534660,0.4658333333,-0.0034001775,-0.0127562880,0.4183333333,-0.0006577489,-0.0019964455,0.4291666667,-0.0042079672,-0.0062734448,0.4100000000,-0.0153522742,-0.0241343698,0.3466666667
provider_crosscheck_component,source_quality_component,factor_quantile,2,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0008802791,-0.0020555180,0.4333333333,-0.0042119395,-0.0071385983,0.4041666667,-0.0174251987,-0.0299720588,0.3625000000,-0.0013802450,-0.0026246278,0.4191666667,-0.0079110639,-0.0106764959,0.3725000000,-0.0293772953,-0.0396281354,0.3083333333
provider_crosscheck_component,source_quality_component,factor_quantile,3,1200,10,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0002906444,-0.0010576489,0.4633333333,-0.0004549630,-0.0019225261,0.4816666667,-0.0075002799,-0.0195220733,0.4100000000,-0.0007906103,-0.0021492342,0.4458333333,-0.0041540874,-0.0054976544,0.4333333333,-0.0194523765,-0.0288994893,0.3658333333
