refined_factor_id,warning_code,warning_severity,warning_detail,non_actionable_disclaimer
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=2100,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,source_factor_value_missing,research_warning,missing_or_filtered_rows=4700,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,retained_rows_below_threshold,research_warning,retained_share=0.2166666667,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,construction_completed_with_sparse_exposure,research_warning,constructed_with_retained_share=0.2166666667,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1265,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=496,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_price_volume_confirmation_5d__horizon_specific,source_factor_value_missing,research_warning,missing_or_filtered_rows=260,research_only
alpha_price_volume_confirmation_5d__horizon_specific,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1525,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,source_factor_value_missing,research_warning,missing_or_filtered_rows=5764,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,sparse_review_queue_slice,research_warning,review_queue_conditioned_valid_rows=236,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,retained_rows_below_threshold,research_warning,retained_share=0.0393333333,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,construction_completed_with_sparse_exposure,research_warning,constructed_with_retained_share=0.0393333333,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,collapsed_or_imbalanced_bucket,research_warning,dominant_bucket_share=0.9775000000;bucket_count=4,research_only
alpha_price_volume_confirmation_5d__risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=535,research_only
alpha_price_volume_confirmation_5d__risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1232,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_risk_adjusted_relative_strength__horizon_specific,source_factor_value_missing,research_warning,missing_or_filtered_rows=1000,research_only
alpha_risk_adjusted_relative_strength__horizon_specific,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=2100,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,source_factor_value_missing,research_warning,missing_or_filtered_rows=4700,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,retained_rows_below_threshold,research_warning,retained_share=0.2166666667,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,construction_completed_with_sparse_exposure,research_warning,constructed_with_retained_share=0.2166666667,research_only
alpha_risk_adjusted_relative_strength__risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1265,research_only
alpha_risk_adjusted_relative_strength__risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1232,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_20d__horizon_specific,source_factor_value_missing,research_warning,missing_or_filtered_rows=1000,research_only
alpha_vol_adj_momentum_20d__horizon_specific,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=2100,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,source_factor_value_missing,research_warning,missing_or_filtered_rows=4700,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,retained_rows_below_threshold,research_warning,retained_share=0.2166666667,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,construction_completed_with_sparse_exposure,research_warning,constructed_with_retained_share=0.2166666667,research_only
alpha_vol_adj_momentum_20d__risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1265,research_only
alpha_vol_adj_momentum_20d__risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=492,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_5d__horizon_specific,source_factor_value_missing,research_warning,missing_or_filtered_rows=256,research_only
alpha_vol_adj_momentum_5d__horizon_specific,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1521,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,source_factor_value_missing,research_warning,missing_or_filtered_rows=4505,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,retained_rows_below_threshold,research_warning,retained_share=0.2491666667,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,construction_completed_with_sparse_exposure,research_warning,constructed_with_retained_share=0.2491666667,research_only
alpha_vol_adj_momentum_5d__risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=535,research_only
alpha_vol_adj_momentum_5d__risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
