candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,n_valid_rows,construction_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,winsorized_zscore,false,3900,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,identity,true,1300,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,cross_sectional_zscore,false,1300,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,cross_sectional_rank,false,1300,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,winsorized_zscore,false,1300,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,identity,true,4735,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,cross_sectional_zscore,false,4735,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,cross_sectional_rank,false,4735,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,winsorized_zscore,false,4735,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,identity,true,4768,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,cross_sectional_zscore,false,4768,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,cross_sectional_rank,false,4768,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,winsorized_zscore,false,4768,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,identity,true,5000,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,cross_sectional_zscore,false,5000,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,cross_sectional_rank,false,5000,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,winsorized_zscore,false,5000,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,identity,true,3900,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,cross_sectional_zscore,false,3900,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,cross_sectional_rank,false,3900,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,winsorized_zscore,false,3900,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,identity,true,1300,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,cross_sectional_zscore,false,1300,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,cross_sectional_rank,false,1300,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,winsorized_zscore,false,1300,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,identity,true,4735,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,cross_sectional_zscore,false,4735,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,cross_sectional_rank,false,4735,constructed_pit_safe,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,winsorized_zscore,false,4735,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,identity,true,5504,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,cross_sectional_zscore,false,5504,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,cross_sectional_rank,false,5504,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,winsorized_zscore,false,5504,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,identity,true,5740,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,cross_sectional_zscore,false,5740,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,cross_sectional_rank,false,5740,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,winsorized_zscore,false,5740,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,identity,true,4475,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,cross_sectional_zscore,false,4475,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,cross_sectional_rank,false,4475,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,winsorized_zscore,false,4475,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,identity,true,236,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,cross_sectional_zscore,false,236,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,cross_sectional_rank,false,236,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,winsorized_zscore,false,236,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,identity,true,5465,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,cross_sectional_zscore,false,5465,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,cross_sectional_rank,false,5465,constructed_pit_safe,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,winsorized_zscore,false,5465,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength__downside_risk_filtered,risk_adjusted_alpha_candidate,identity,true,4768,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__downside_risk_filtered,risk_adjusted_alpha_candidate,cross_sectional_zscore,false,4768,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__downside_risk_filtered,risk_adjusted_alpha_candidate,cross_sectional_rank,false,4768,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__downside_risk_filtered,risk_adjusted_alpha_candidate,winsorized_zscore,false,4768,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength__horizon_specific,risk_adjusted_alpha_candidate,identity,true,5000,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__horizon_specific,risk_adjusted_alpha_candidate,cross_sectional_zscore,false,5000,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__horizon_specific,risk_adjusted_alpha_candidate,cross_sectional_rank,false,5000,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__horizon_specific,risk_adjusted_alpha_candidate,winsorized_zscore,false,5000,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength__liquidity_filtered,risk_adjusted_alpha_candidate,identity,true,3900,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__liquidity_filtered,risk_adjusted_alpha_candidate,cross_sectional_zscore,false,3900,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__liquidity_filtered,risk_adjusted_alpha_candidate,cross_sectional_rank,false,3900,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__liquidity_filtered,risk_adjusted_alpha_candidate,winsorized_zscore,false,3900,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength__review_queue_conditioned,risk_adjusted_alpha_candidate,identity,true,1300,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__review_queue_conditioned,risk_adjusted_alpha_candidate,cross_sectional_zscore,false,1300,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__review_queue_conditioned,risk_adjusted_alpha_candidate,cross_sectional_rank,false,1300,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__review_queue_conditioned,risk_adjusted_alpha_candidate,winsorized_zscore,false,1300,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength__risk_filtered,risk_adjusted_alpha_candidate,identity,true,4735,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__risk_filtered,risk_adjusted_alpha_candidate,cross_sectional_zscore,false,4735,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__risk_filtered,risk_adjusted_alpha_candidate,cross_sectional_rank,false,4735,constructed_pit_safe,research_only
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__risk_filtered,risk_adjusted_alpha_candidate,winsorized_zscore,false,4735,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d__downside_risk_filtered,volatility_adjusted_momentum,identity,true,4768,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__downside_risk_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,4768,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__downside_risk_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,4768,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__downside_risk_filtered,volatility_adjusted_momentum,winsorized_zscore,false,4768,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,identity,true,5000,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,cross_sectional_zscore,false,5000,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,cross_sectional_rank,false,5000,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,winsorized_zscore,false,5000,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,identity,true,3900,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,3900,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,3900,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,winsorized_zscore,false,3900,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,identity,true,1300,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,cross_sectional_zscore,false,1300,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,cross_sectional_rank,false,1300,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,winsorized_zscore,false,1300,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,identity,true,4735,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,4735,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,4735,constructed_pit_safe,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,winsorized_zscore,false,4735,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,identity,true,5508,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,5508,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,5508,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,winsorized_zscore,false,5508,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,identity,true,5744,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,cross_sectional_zscore,false,5744,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,cross_sectional_rank,false,5744,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,winsorized_zscore,false,5744,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,identity,true,4479,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,4479,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,4479,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,winsorized_zscore,false,4479,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d__review_queue_conditioned,volatility_adjusted_momentum,identity,true,1495,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__review_queue_conditioned,volatility_adjusted_momentum,cross_sectional_zscore,false,1495,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__review_queue_conditioned,volatility_adjusted_momentum,cross_sectional_rank,false,1495,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__review_queue_conditioned,volatility_adjusted_momentum,winsorized_zscore,false,1495,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d__risk_filtered,volatility_adjusted_momentum,identity,true,5465,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__risk_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,5465,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__risk_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,5465,constructed_pit_safe,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__risk_filtered,volatility_adjusted_momentum,winsorized_zscore,false,5465,constructed_pit_safe,research_only
